"paper_id","year","outbound_citations","inbound_citations"
2552713,2002,45,30
2552772,2006,24,9
2553098,2012,48,168
2553182,2017,37,2
2553402,2010,31,39
2554196,2003,35,6
2555126,2017,14,0
2555221,2001,12,193
2555519,2007,21,7
2555975,2015,23,3
2556124,2012,39,31
2556180,2016,0,5
2556346,2010,21,6
2556452,2007,33,3
2556461,2015,0,50
2557076,2002,30,6
2557337,2007,11,0
2557629,2011,19,2
2557766,2006,6,3
2557915,2005,0,3
2557956,2009,17,4
2558031,2011,44,87
2559131,2016,0,3
1530155,2015,0,6
1531209,2016,23,0
1531228,2010,23,4
1531831,2013,18,38
1532112,2004,27,5
1532327,2008,25,5
1532335,2010,86,33
1533165,2014,55,40
1533900,2013,55,69
1534140,2014,20,7
1534772,2003,49,83
1535863,2005,28,22
1536481,2014,45,27
1536578,2015,23,4
1537439,2014,51,6
1537944,2016,44,21
1538715,2016,25,3
1538847,2014,34,6
1539133,2005,23,45
1539500,2002,58,129
1539544,2016,33,0
1539646,2004,13,14
125309544,2015,3,0
18550117,2015,15,0
18550157,2011,54,63
18551071,2016,10,0
18551479,2011,37,6
18551736,2006,37,13
18552978,2016,27,3
18554114,2013,19,1
18554738,2009,43,15
18558664,2013,43,7
18558913,2006,5,32
18559675,2008,63,89
55850031,2015,10,0
55850290,2017,2,3
55851045,2012,6,3
55851898,2015,23,6
55852514,2012,15,0
55853103,2012,11,0
55853348,2012,1,0
55854043,2011,12,4
55855452,2010,7,5
55855714,2013,11,1
55856311,2016,20,0
55856891,2010,11,2
55857547,2012,16,2
55858231,2016,15,0
27244307,2004,21,2
27245822,2010,13,6
27246065,2006,27,6
27246149,2005,14,2
27246812,2006,42,38
27247043,2011,17,3
27247441,2013,24,8
2621179,2007,20,33
2621225,2013,67,39
2621528,2016,39,1
